"",,,,,Previous Retail,September 2020,September 2020,September 2020,September 2020
SKU,Product Name by Product Category,Previous PV,Previous BV,Previous IBOC,,,,,
"",,,,,Price,PV,BV,IBOC,Retail Price
300550,XSTM Sparkling + Electrolytes Sparkling Water,5.40,16.20,16.20,18.00,5.31,16.20,16.20,18.00
300855,XSTM Protein Pods Vanilla,8.16,24.48,28.80,32.00,9.44,24.48,28.80,32.00
300856,XSTM Protein Pods Chocolate,8.16,24.48,28.80,32.00,9.44,24.48,28.80,32.00
300551,XSTM Sparkling + Muscle Multiplier Water,New,Coming Soon,,,,,,
300552,XSTM Sparkling + Muscle Multiplier Water,New,Coming Soon,,,,,,
300553,XSTM Sparkling + Magnesium Water,6.60,19.80,19.80,22.00,6.49,19.80,19.80,22.00
300554,XSTM Sparkling + Magnesium Water,6.60,19.80,19.80,22.00,6.49,19.80,19.80,22.00
PERFECT WATER,,,,,,,,,
285375,Perfect Empowered Drinking Water®*,14.40,21.60,43.20,48.00,14.16,21.60,43.20,48.00
SKIN CARE CATEGORY,,,,,,,,,
107998,ArtistryTM Intensive Skincare Renewing Peel,22.25,66.75,66.75,89.00,21.84,66.60,66.60,74.00
109709,ArtistryTM Intensive Skincare Anti-Wrinkle Firming Serum,24.50,73.50,73.50,98.00,24.20,73.80,73.80,82.00
111225,ArtistryTM Men Gentle Face Wash,7.25,21.75,21.75,29.00,7.08,21.60,21.60,24.00
111227,ArtistryTM Men Post Shave Toner,9.50,28.50,28.50,38.00,9.44,28.80,28.80,32.00
111228,ArtistryTM Men Facial Moisturizer,12.25,35.25,35.25,47.00,11.51,35.10,35.10,39.00
113803,Artistry Youth XtendTM Protecting Lotion,18.00,54.00,54.00,72.00,17.70,54.00,54.00,60.00
113804,Artistry Youth XtendTM Enriching Lotion,18.00,54.00,54.00,72.00,17.70,54.00,54.00,60.00
113807,Artistry Youth XtendTM Protecting Cream,18.00,54.00,54.00,72.00,17.70,54.00,54.00,60.00
113808,Artistry Youth XtendTM Enriching Cream,18.00,54.00,54.00,72.00,17.70,54.00,54.00,60.00
113810,Artistry Youth XtendTM Enriching Eye Cream,15.00,45.00,45.00,60.00,14.75,45.00,45.00,50.00
115408,ArtistryTM Intensive Skincare Advanced Skin Refinisher,22.25,69.75,69.75,93.00,22.72,69.30,69.30,77.00
116065,ArtistryTM Advanced Creamy Foam Cleanser,6.75,20.25,20.25,27.00,6.79,20.70,20.70,23.00
116066,ArtistryTM Advanced Softening Toner,8.00,24.00,24.00,32.00,7.97,24.30,24.30,27.00
116159,Artistry Youth XtendTM Skincare System with Lotion,29.47,88.42,88.42,117.90,29.21,89.10,89.10,99.00
116160,Artistry Youth XtendTM Skincare System with Cream,29.47,88.42,88.42,117.90,29.21,89.10,89.10,99.00
116331,ArtistryTM Ultimate 10 Minute Facial,15.58,46.75,46.75,55.00,15.34,46.80,46.80,52.00
117642,Artistry Hydra-VTM Fresh Foaming Cleanser,6.25,18.75,18.75,25.00,6.20,18.90,18.90,21.00
117644,Artistry Hydra-VTM Fresh Toner,6.25,18.75,18.75,25.00,6.20,18.90,18.90,21.00
117646,Artistry Hydra-VTM Replenishing Moisture Cream,10.75,32.25,32.25,43.00,10.62,32.40,32.40,36.00
117647,Artistry Hydra-VTM Refreshing Gel,10.75,32.25,32.25,43.00,10.62,32.40,32.40,36.00
117648,Artistry Hydra-VTM Nourishing Gel Cream,12.00,36.00,36.00,48.00,11.80,36.00,36.00,40.00
